clue	inflected stimulus	stimulus
No usaré ?, voy a secar mi ropa con el sol.	la secadora	la secadora
Pon la ropa mojadas en ? para que se sequen.	la secadora	la secadora
? es donde metes tu ropa para que se le vaya la humedad.	la secadora	la secadora
es una máquina doble, la parte inferior es la lavadora y la superior es ?	la secadora	la secadora
Saqué mi ropa mojada de la lavadora y las metí en ?	la secadora	la secadora
? Electrodoméstico que seca la ropa con calor	la secadora	la secadora
? me quemo la ropa.	La secadora	la secadora
? está el suelo por debajo de la planta baja	sótano	el sótano
Vamos ? porque se acerca un tornado.	al sótano	el sótano
Las cosas que no usamos las dejamos abajo en ? de la casa.	el sótano	el sótano
Mis maquinas de lavar están abajo en ?.	el sótano	el sótano
? es un buen lugar para guardar el vino.	El sótano	el sótano
? Subsuelo, pieza subterránea de un edificio.	el sótano	el sótano
lugar de la casa que es el fundamento se llama ?	el sótano	el sótano
? era el lugar más oscuro de la casa, nunca me gustó bajar allá.	el sótano	el sótano
Mi papá prende ? siempre para ver las noticias.	El televisor	el televisor
Hoy pude ver todos los canales en ?	el televisor	el televisor
Por que no prendes ? para ver las noticias?	el televisor	el televisor
Cuando enciendes ? miras un mundo de personas pequeñas que no se pueden tocar.	el televisor	el televisor
? es una caja que muestra imágenes.	El televisor	el televisor
Se pueden ver películas, noticias y telenovelas en ?	el televisor	el televisor
Jaime tiene ? a todo volúmen porque están pasando su programa favorito.	el televisor	el televisor
? se averió después de que cayó el rayo anoche.	el televisor	el televisor
El gato se fue corriendo por ?.	el techo	el techo
Después de la lluvia ? está filtrando.	el techo	el techo
la casa tiene en la parte superior ?	el techo	el techo
Era tan alto que su cabeza llegaba casi hasta ?	el techo	el techo
Ves debajo de ti el piso, y ves de arriba ?	el techo	el techo
? de esa casa parece que toca el cielo.	El techo	el techo
? es la parte alta de una habitación.	El techo	el techo
? Cubierta exterior de un edificio.	el techo	el techo
? siempre gotea cuando llueve.	el techo	el techo
Hoy voy a desayunar pan tostado así que ya saqué ?.	la tostadora	la tostadora
Pon el pan con queso en ? hasta que esté bien dorado y el queso derretido.	la tostadora	la tostadora
Cuando se usa ? el pan sale caliente y crujiente.	la tostadora	la tostadora
Yo use ? esta mañana para preparar mi pan.	la tostadora	la tostadora
? es muy usada en el desayuno, y no suele usarse mucho tiempo.	La tostadora	la tostadora
? cuando quiero tostada con mermelada uso la...	la tostadora	la tostadora
Dejé demasiado tiempo los panes en ? y se quemaron.	la tostadora	la tostadora
? toma mucho tiempo para dorar el pan, por eso decidimos cambiarla por una nueva.	la tostadora	la tostadora
Usualmente, durante el desayuno el pan se prepara en ?	la tostadora	la tostadora
Algunos ? son primero, segundo y tercero.	números ordinales	números ordinales
Las matemáticas se basaron en los ?	números ordinales	números ordinales
Los ? se utilizan para designar el orden de las cosas.	números ordinales	números ordinales
Cuando están estableciendo un orden se llaman ?	números ordinales	números ordinales
los ? son los numeros que son de algo ordenado.	numeros ordinales	números ordinales
Los ? son los números que describen la orden en cual pasan eventos relatados.	números ordinales	números ordinales
Los ? se utilizan para saber el orden de los equipos de baloncesto en la liga.	números ordinales	números ordinales
Algunos ? Se leen ""primero"", ""segundo"", ""tercero"".	Números ordinales	números ordinales
Yo te quiero ? que dejes de tomar tanto alcohol.	aconsejar	aconsejar
Debemos ? a los chicos sin orientación.	aconsejar	aconsejar
cuando alguien nos pide un punto de vista sobre un tema que ya tienen conocimiento eso se llama??	aconsejar	aconsejar
para que vayas por el buen camino, déjame que te voy a ?	aconsejar	aconsejar
Yo no quiero ? como debes vivir tu vida, pero espero que estes segura.	aconsejar	aconsejar
? Orientar, asesorar.	aconsejar	aconsejar
Me gusta hablar con mi amigo, el siempre me sabe ? correctamente.	aconsejar	aconsejar
El psicólogo del colegio realmente sabía cómo ? a los estudiantes.	aconsejar	aconsejar
Esteban ocupo el ? puesto en el colegio.	primer	primer(o)
Vamos a cenar pero ? hay que lavarse las manos.	primero	primer(o)
Corrí más rápido que todos y llegué de ?	primero	primer(o)
El era el ? para cruzar, y gano la competencia.	primero	primer(o)
Antes de lo segundo siempre está lo ?	primero	primer(o)
este es mi ? año en la universidad	primer	primer(o)
El ? día de Enero es el Año Nuevo.	primer	primer(o)
En las carreras de coches, el más rapido es el ? .	primero	primer(o)
? El As	priimer(o)	primer(o)
El ? lugar se lleva el mejor premio.	primer	primer(o)
Dentro de mis propósitos de año nuevo voy a ? tener un nuevo trabajo.	desear	desear
No te puedo ayudar, pero te voy a ? mucha suerte.	desear	desear
cuando quieres mucho tener algo, también se le puede decir...?	desear	desear
?cuando quires algo que se cumpla se tiene que	desear	desear
tus fotos me hacen ? ir también a Italia	desear	desear
Vas a ? nunca haber comido ese panecillo, se veia malo.	desear.	desear
? es querer algo con mucha fuerza.	Desear	desear
? sentir atracción por algo hasta el punto de querer poseerlo	desear	desear
El  ? querer salir adelante, me llevó a lograr lo que quería.	desear	desear
Camilo es el ? hijo de Matilde y Gustavo.	segundo	segundo
Despues del primer lugar, es ? lugar.	segundo	segundo
No quiero perder ni un ? de esta canción.	segundo	segundo
En la competencia al no poder ganar el primero, me tuve que conformar con el ? puesto.	segundo	segundo
Es muy raro que Usain Bolt termine en ? lugar.	segundo	segundo
El primero gana oro, el ? gana plata.	segundo	segundo
De la hora viene el minuto y del minuto viene el ?	segundo	segundo
Mi ? hijo es un ano menor que mi primero.	segundo	segundo
? faltó un poquito para ser el primero	segundo	segundo
El ? informe fue aceptado antes que el primero, porque cumplía con todos los requisitos.	segundo	segundo
Me saqué la medalla de bronce porque quedé en ? lugar.	tercer	tercer(o)
Después del segundo, va el ?	tercero	tercer(o)
Acabo de terminar mi segundo semestre, en agosto comienso mi .... Semestre! Adjetivo numerico que le sigue a segundo?	Tercer(o)	tercer(o)
Cristo resucitó al ? día	tercer	tercer(o)
Después del segundo, está el ? .	tercero	tercer(o)
La C es la ? letra del alfabeto.	tercera	tercer(o)
primero, segundo, ?	tercero	tercer(o)
? indica la posición número tres en una sucesión	tercer(o)	tercer(o)
Mi mamá ya tiene dos, pero quiere un ? hijo.	tercer	tercer(o)
Cuando se va alguien hay que ? a que vuelva.	esperar	esperar
Tienes que ? a que te llamen.	esperar	esperar
Ya se fue el metro, debemos ? el próximo.	esperar	esperar
Tengo que ? que el vestido este en venta por que cuesta mucho dinero.	esperar	esperar
la embarazada tiene que ? nueve meses para dar a luz	esperar	esperar
En la oficina del doctor hay que ser paciente y ?	esperar	esperar
? es aguardar, tener esperanza	esperar	esperar
Hay personas que no tienen paciencia y no saben ?	esperar	esperar
? Desear que algo suceda.	esperar	esperar
A todos nos dieron los documentos, tu debes ? que te den los tuyos.	insistir en	insistir en
?se dice cuando quieres que se haga algo y sigues diciendo	insistiendo	insistir en
los negociadores siempre quieren ? sus posiciones	insistir en	insistir en
El maestro va a ? que todo mundo tome el examen seriamente.	insister en	insistir en
Cuando repites algo muchas veces, estas ? .	insistiendo	insistir en
? Rogar con persistencia	insistir en	insistir en
Había un amigo de mis padres afuera, le pedí que pasara y tomara asiento y tuve que ? pasara porque le daba pena entrar a la casa.	Insistir en	insistir en
Mi ? es muy grande, tengo mucho espacio para mi cama y mis cosas.	cuarto	cuarto
El ? paso a seguir es más difícil que el tercero.	cuarto	cuarto
Ese ? te servirá para poner el computador y la impresora.	cuarto	cuarto
quiero en el hotel quedarme en un ? con vista al mar y en piso alto	cuarto	cuarto
La mitad de medio kilogramos es un ? de kilogramo.	cuarto	cuarto
El ? va antes que el quinto.	cuarto	cuarto
Rodrigo está en su ?, pero los demás están en la sala.	cuarto	cuarto
? número ordinal que indica el que ocupa el lugar cuatro	cuarto	cuarto
En el  ? solo había cosas viejas, era a donde se destinaba todo lo que ya no se utilizaba.	cuarto	cuarto
Yo voy a ? una carta a mi amiga que vive en Miami.	mandar	mandar
Voy a ? a construir la piscina.	mandar	mandar
Tengo que ? esos libros a mi hermana por correo.	mandar	mandar
Acción de ordenar algo a alguien: ?	Acción de ordenar algo a alguien: mandar	mandar
el jefe lo que hace es ? a los empleados	mandar	mandar
Las personas dominantes se caranterizan por ? a los demas.	mandar	mandar
Yo mando, tú mandas, ellos mandan, vienen del verbo ?	mandar	mandar
Te voy a ? a freír espárragos!	mandar	mandar
Tengo que ir a la mensajería a dejar un paquete. Le voy a ? un regalo a mi mamá.	Mandar	mandar
El ? lugar se encuentra entre el cuarto y sexto.	quinto	quinto
Los primeros cuatro puestos están ocupados, sólo me queda el ? vacío.	quinto	quinto
Después del cuarto está el ? y antes del sexto.	quinto	quinto
el siglo cinco se conoce también como el ? siglo	quinto	quinto
La vecina del ? piso era tan ruidosa que sus vecinos del cuarto piso la detestaban.	quinto	quinto
El meñique es el ? dedo mas gordo.	quinto	quinto
? Numero ordinal que indica el lugar anterior al sexto.	quinto	quinto
Tercer, cuarto, ? y sexto grado hicieron una fiesta.	Quinto	quinto
El ? puesto lo ocupó un joven nacido en la India, mientras que los primeros cuatro puestos fueron para nacidos en América.	quinto	quinto
Estoy corto de dinero, ? mas trabajo.	necesito	necesitar
Si vas a ? de un abogado yo te lo puedo recomendar.	necesitar	necesitar
Lo haces todo sola, pero algún día me vas a ?	necesitar	necesitar
Voy a ? ir al doctor para saber si estoy embarazada.	necesitar	necesitar
? cuando ocupas algo de alguien se va	necesitar	necesitar
vamos a ? dinero para comprar el auto	necesitar	necesitar
cuando estes ahi vas a ? un sweater porque hace mucho frio	necesitar	necesitar
? comer para no morirte.	Necesitas	necesitar
Se ve que esta casa ? pintura, la lluvia ya se la ha llevado toda.	Necesita	necesitar
Por ? más dinero para la construcción, tuvimos que hacer un préstamo.	necesitar	necesitar
Mi hijo del quinto pasó al ? con la mejor nota.	sexto	sexto
Las mujeres siempre tienen un ... Sentido! Adjetivo numerico despues de quinto?	Sexto	sexto
este mes leí cinco libros y ahora me toca empezar el ?	sexto	sexto
Todos creían que luego del ? ya no tendria mas hijos, sin embargo Luis es el séptimo.	sexto	sexto
tercero, cuarto, quinto, ?	sexto	sexto
? Ocupa el lugar anterior al séptimo.	sexto	sexto
No había comido donas desde que estaba en ? grado, justo después de la graduación de quinto.	sexto	sexto
El ? sentido es un privilegio de las mujeres.	sexto	sexto
A gabriela no le gusta ? disculpas por que le da pena.	pedir	pedir
Yo voy a ? una copa de azucar de la vecina.	pedir	pedir
No vayas a ? unos tacos porque aquí no están ricos.	pedir	pedir
Cuando no puedas sólo debes ? ayuda.	pedir	pedir
los estudiantes va a ? al profesor postergar el examen	pedir	pedir
tengo que ? algo de comida  a domicilio ya que no hay nada	pedir	pedir
No tienes dinero, lo tendras que ? a alguien.	pedir	pedir
? solicitar algo a otra persona	pedir	pedir
Las cosas se ? por favor para obtenerlas sin problemas.	piden	pedir
Si vas al ? piso, te recomiendo que subas las escaleras.	séptimo	séptimo
Llegué al sexto piso, ahora subiré al ?.	séptimo	séptimo
Numero que le sigue al sexto es el? Cual es el siguiente numero despues del sexto?	Septimo	séptimo
Según la Biblia; Dios hizo al hombre en seis días y en el ? día descansó.	séptimo	séptimo
el quinto y el sexto superaron con pocos segundos al ? en la competencia	séptimo	séptimo
y en el sexto lugar esta romina, y en el ? esta ernesto	septimo	séptimo
El sábado es el ? día de la semana.	séptimo	séptimo
Me encanta la película el ? sello	séptimo	séptimo
Sexto, ?, octavo, noveno.	Séptimo	séptimo
El ? día al fin se pudo entregar todo, después de seis días de trabajo intenso.	séptimo	séptimo
Te van a ? entrar al equipo de fútbol por esta ocasión.	permitir	permitir
No debes ? más abusos.	permitir	permitir
La ley no va a ? tirar basura en las calles.	permitir	permitir
no se debe ? beber y conducir	permitir	permitir
Si se puede hacer, entonces esta ?	permitido	permitir
El hombre no quiere ? entrada a su casa.	permitir	permitir
? es lo contrario de prohibir.	Permitir	permitir
Lo contrario de prohibir es ?	permitir	permitir
No te voy a ? que le hables así a tu madre. Ella merece respeto.	permitir	permitir
Por ? video conferencias, es recomendado para hombres de negocios.	permitir	permitir
Sólo pasé a ? lugar en la competencia.	octavo	octavo
Sólo tengo la nota de siete niveles, porque no pude terminar el ?	octavo	octavo
Este es el ? nivel, el nivel que está anterior a la escuela secundaria.	octavo	octavo
tuvo siete hijas mujeres y al fin el ? fue varón	octavo	octavo
Si en la escuela pasas el septimo, vas para el ? grado.	octavo	octavo
El ? va antes del noveno.	octavo	octavo
Mi departamento es el 801, es decir, está en el ? piso.	Octavo	octavo
De los ocho participantes, el último fue el mejor. El ? con sus puesta en escena, demostró todo su talento.	octavo	octavo
No te quiero ? que comas tantos dulces.	prohibir	prohibir
Deberían ? que los menores de edad puedan conducir.	prohibir	prohibir
El los parques suelen ? pisar el pasto.	prohibir	prohibir
? lo contrario de permitir	prohibir	prohibir
? el la epoca de los treinta se uso mucho esto	prohibir	prohibir
El hecho de ? la venta de alcohol fue contraproducente.	prohibir	prohibir
En los examenes está ? copiarse.	prohibido	prohibir
? Restringir, no permitir.	Prohibir	prohibir
La escuela tiene que ? armas.	prohibir	prohibir
? leer esa clase de literaratura, era una medida que no esperábamos.	prohibir	prohibir
El novio de Daniela va en el grado ?.	noveno	noveno
Este es el ? capítulo de la serie, espero que el décimo esté así de bueno.	noveno	noveno
Quiero 9 videos de chistes, pero en el ? que sería el último, quiero que sea el más divertido de todos.	noveno	noveno
El ? es el que le sigue al octávo.	noveno	noveno
? es el que queda en el puesto nueve	Noveno	noveno
Cuando tuve me primer novio, yo estaba cursando ? grado de escuela.	noveno	noveno
? entre el octavo y el décimo	noveno	noveno
Vivo en el ? piso, mi departamento es el 902.	noveno	noveno
Sería su ? intento de ganar una medalla, después de ocho participaciones en blanco.	noveno	noveno
Yo debo ? a las personas por lo que son y no por lo que tienen.	querer	querer
Te voy a ? hasta el final de mis días.	querer	querer
Mientras más comidas te prepare, mas vas a ? comer.	querer	querer
?el___ es poder	querer	querer
Cuando tengamos un hijo lo vamos a ? mucho.	querer	querer
Yo voy a ? una nueva bicicleta.	querer	querer
? es un verbo que indica tener ganas de algo.	Querer	querer
Si ? a alguien, significa que estimas a esa persona.	quieres	querer
Lo siento, te di sin ?	Querer	querer
El  ? a los animales, hace que no comamos carne.	querer	querer
? En los baños suelo estar,aunque provengo del mar.	Esponja	recomendar
El medico ? una dieta libiana para tu condicion.	recomienda	recomendar
De estos dos equipos, cuál me vas a ?	recomendar	recomendar
Te ? que estudies mucho para que pases los examenes.	recomiendo	recomendar
el periódico publica una lista de libros a ?	recomendar	recomendar
Cuando quieres saber que es el mejor entre dos o tres cosas que no conoces, pidas a una que lo conoce - y ella te ? lo que piensa.	recomenda	recomendar
? es lo mismo que aconsejar.	Recomendar	recomendar
? subir los sueldos, fue una sugerencia del presidente al asociación de trabajadores.	recomendar	recomendar
Un guía de ciudad puede ? un museo o restaurante.	recomendar	recomendar
Si algo es necesario es ? .	requeriro	requerir
Para sacar el carnet de conducir, se ? pasar examenes.	require	requerir
Ya me mandaron ? para presentarme ante el tribunal.	requerir	requerir
A esa velocidad vas a ? algo mejor.	requerir	requerir
? son lo que se tiene que pedir	requerir	requerir
el paciente va a ? sangre de su tipo	requerir	requerir
Vas a ? ciertas herramientas para arreglar eso.	requerir	requerir
Esa casa va ? mucho trabajo, no creo que la debemos comprar.	requerir	requerir
Cuando solicitas trabajo es importante ? la descripción de tareas.	requerir	requerir
Todos los asistentes pensaron que ? usar corbata a los hombres era demasiado.	requerir	requerir
Los padres deben ? a sus hijos lo importante y saludable de tomar agua.	sugerir	sugerir
No vayas a ? que baje de peso.	sugerir	sugerir
Para esos caminos de tierra te voy a ? un vehículo 4x4	sugerir	sugerir
Te ? que antes de tomar una decisión escuches lo que tengo que decirte.	sugiero	sugerir
?cuando se tiene que decir una recomendacion	sugerir	sugerir
el consejero debe ? al estudiante qué materias tomar	sugerir	sugerir
Si vais a salir y tus amigos piden opiniones de donde salir, tu puedes ? opciones.	sugerir	sugerir
? dar una idea a alguien para que la tenga en cuenta antes de hacer algo	sugerir	sugerir
Si me permite ?, la sopa es el plato del día y está buenisima	sugerir	sugerir
Unos amigos nos van a ? una buena película para ver.	sugerir	sugerir
El día es ?.	mío	mío/mía/míos/mías
No me gusta que te pongas las cosas ?.	mías	mío/mía/míos/mías
Todo lo que yo compro para mí es solamente ?	mío	mío/mía/míos/mías
Yo sabía que todas las cosas que el robo eran?;  el celular era?, la computadora era?, y todos los demás objetos eran?.	mio/mia/mios/mias	mío/mía/míos/mías
si me pertenece se dice ?	mío	mío/mía/míos/mías
este perro es el ? , el tuyo es aquel.	mio	mío/mía/míos/mías
Cuando te preguntan si es tuyo, respondes que es ?.	mío	mío/mía/míos/mías
? Pronombres y adjetivos posesivos de primera persona	mío/mía/míos/mías	mío/mía/míos/mías
La  ? es la bicicleta azul de la izquierda.	mía	mío/mía/míos/mías
el piso de arriba del noveno florr es ? flo	décimo	décimo
La canción quedó en el ? lugar de los grandes éxitos.	décimo	décimo
Ya tengo nueve, falta uno para completar el ?	décimo	décimo
Después de el ? grado, nada mas le falta dos anos de escuela.	decimo	décimo
El tema musical es ? en la lista de popularidad, bajando un puesto del noveno lugar la semana pasada.	el décimo	décimo
Uno dividido entre diez es un ?	décimo	décimo
hoy es el ? cumpleaños de mi hermano, uno mas y sera el onceavo!	decimo	décimo
? llego de último entre diez	décimo	décimo
El ? tuvo acceso parcial, mientras que los nueve primeros lograron mas privilegios.	décimo	décimo
El atleta quedó en el ? lugar o sea, después del noveno.	décimo	décimo
barrer y trapear es uno de ?.	los quehaceres domesticos	los quehaceres domésticos
Voy a ponerme a hacer ? para que la casa quede limpia.	los quehaceres domésticos	los quehaceres domésticos
? no son sólo para mujeres, los hombres también tienen sus quehaceres dentro de la casa.	los quehaceres domésticos	los quehaceres domésticos
Mi esposa contrató a alguien para que hiciera ? porque ella dice que está cansada.	los quehaceres domésticos	los quehaceres domésticos
En casa turnamos quién hace ?	los quehaceres domésticos.	los quehaceres domésticos
? son una serie de tareas que tienes que hacer relacionadas con la casa.	Los quehaceres domésticos	los quehaceres domésticos
? me mantienen ocupada.	los quehaceres domesticos	los quehaceres domésticos
Si arreglamos el piso el domingo, hacemos ?	los quehaceres domesticos	los quehaceres domésticos
Para ? contratamos a alguien porque nadie quería involucrarse en el aseo de la casa.	los quehaceres domésticos	los quehaceres domésticos
No dejes que el gato se meta ?.	dentro de la casa	dentro de la casa
Con tanta lluvia en la calle, pasaré el día ?	dentro de la casa	dentro de la casa
Los niños jugaron ? cuando llegaron de la escuela.	dentro de la casa	dentro de la casa
Si hay una tormenta en vez de estar en el jardín es mejor entrar ?	dentro de la casa	dentro de la casa
? cuando estas afuera de la casa y entras estas?	dentro de la casa	dentro de la casa
los animals domésticos pueden estar ? y afuera si son supervisados.	dentro de la casa	dentro de la casa
Las personas no viven fuera viven ? .	dentro de la casa	dentro de la casa
? había tantas personas que tuve que salir al jardín para respirar.	dentro de la casa	dentro de la casa
Ya tienes que ? porque está todo tirado.	arreglar el dormitorio	arreglar el dormitorio
Para que puedan dormir mejor primero deben ?	arreglar el dormitorio	arreglar el dormitorio
Tus amigos van a pasar la noche en tu casa. Asi hace falta?	arreglar tu dormitorio	arreglar el dormitorio
en fines de semana me pongo a ordenar la casa y a ?	arreglar el dormitorio	arreglar el dormitorio
Mi mama siempre me dice que debo de ? antes de irme a la escuela.	arreglar el dormitorio	arreglar el dormitorio
Tengo que ? antes de que los nuevos inquilinos vean el reguero que tengo.	arreglar el dormitorio	arreglar el dormitorio
Los juguetes están en el piso, si quieres salir primero tienes que ?.	Arreglar el dormitorio	arreglar el dormitorio
Tuvimos que ? antes de irnos al paseo; a mi mamá no le gusta que lo dejemos desorganizado.	arreglar el dormitorio	arreglar el dormitorio
Si, estos libros son ? los míos ya los guardé.	tuyos	tuyo/tuya/tuyos/tuyas
Si el te lo dio, entonces es todo ?, sino tendrás que devolverlo.	tuyo	tuyo/tuya/tuyos/tuyas
Este perro es ? así que debes darle un baño.	tuyo	tuyo/tuya/tuyos/tuyas
¿De quién es este libro ? Este libro es ?	¿De quién es este libro ? Este libro es tuyo.	tuyo/tuya/tuyos/tuyas
El examen ? estuvo mejor que el mío.	tuyo	tuyo/tuya/tuyos/tuyas
forma de decir que algo es tuyo de manera singular, plural y tambien en femenino y masculino: ?	tuyo/tuya/tuyos/tuyas	tuyo/tuya/tuyos/tuyas
? adjetivo y pronombre posesivo que indica lo que te pertenece	tuyo/tuya/tuyos/tuyas	tuyo/tuya/tuyos/tuyas
Este suéter es ?, gracias por prestármelo ayer, te lo regreso.	Tuyo	tuyo/tuya/tuyos/tuyas
No tengo escoba para ? lo tendré que aspirar.	barrer el suelo	barrer el suelo
Después de trabajar carpintería, siempre es necesario ?	barrer el suelo	barrer el suelo
Para ? se necesita de una escoba.	barrer el suelo	barrer el suelo
la torta cayó al suelo por lo que ahora tenemos que ?	barrer el suelo	barrer el suelo
La escoba se utiliza para ?	barrer el suelo	barrer el suelo
Yo no soy muy bueno a ?, por eso uso una aspiradora.	barrer el suelo	barrer el suelo
La escoba es el instrumento que se utiliza para ?.	barrer el suelo	barrer el suelo
Debo ? de mi casa para quitar todo el polvo y suciedad.	barrer el suelo	barrer el suelo
Después de la fiesta, tuvimos que ?, estaba totalmente sucio, como si miles de personas hubieran bailado sobre el.	barrer el suelo	barrer el suelo
Al conserje de la cafetería le toca ?	barrer el suelo	barrer el suelo
Mi papa le dijo a mi mamá que todo lo de él era ?.	suyo	suyo/suya/suyos/suyas
No toques lo ? porque se puede enojar.	suyo	suyo/suya/suyos/suyas
Ese lápiz es sólo ?.	suyo	suyo/suya/suyos/suyas
? es lo que le pertenece a él o a ella.	suyo	suyo/suya/suyos/suyas
esta camisa no es mía, quizás es ?	suya	suyo/suya/suyos/suyas
? Indica que algo es de su pertenencia	suyo/suya/suyos/suyas	suyo/suya/suyos/suyas
Si no es mio ni tuyo, es que a los mejor es ?	suyo	suyo/suya/suyos/suyas
La ? fue la mejor propuesta y por eso logró el ascenso.	suya	suyo/suya/suyos/suyas
Tenemos que cuidar el agua de ? planeta.	nuestro	nuestro/nuestra/nuestros/nuestras
Si quieres ir en ? coche.	nuestro	nuestro/nuestra/nuestros/nuestras
Siempre es bueno rezar un Padre ? para agrandar la Fe.	nuestro	nuestro/nuestra/nuestros/nuestras
? relación se acabó, no hay nada entre tú y yo.	nuestra	nuestro/nuestra/nuestros/nuestras
lo que ustedes nos regalan, es?	nuestro	nuestro/nuestra/nuestros/nuestras
padre danos ? pan de cada día	nuestro	nuestro/nuestra/nuestros/nuestras
Nos pertenece, es ? .	nuestro	nuestro/nuestra/nuestros/nuestras
? perro es negro	nuestro	nuestro/nuestra/nuestros/nuestras
A mi hermano y a mí nos gusta tanto el huevo con jamón que es ? desayuno todos los días.	Nuestro	nuestro/nuestra/nuestros/nuestras
? exposición fue la que más aplausos se llevó.	nuestra	nuestro/nuestra/nuestros/nuestras
Ya no tienes que ? porque se rompió la escoba.	barrer el piso	barrer el piso
Antes de trapear debes ?	barrer el piso	barrer el piso
Habia mucho polvo, tuve que ? con la escoba antes mudarme.	barrer el piso	barrer el piso
Se necesita una escoba para ?	barrer el piso	barrer el piso
para que no se acumule la basura hay que ? cada día	barrer el piso	barrer el piso
Prefiero ? con una escoba que usar una aspiradora.	barrer el piso	barrer el piso
Se necesita una barredora para hacer esto	?y debe limpiar el piso	barrer el piso
? limpiar el suelo con una escoba	barrer el piso	barrer el piso
Antes de trapear hay que ?.	barrer el piso	barrer el piso
No creo que ? coche sea económico.	vuestro	vuestro/vuestra/vuestros/vuestras
? visita a sido muy oportuna.	vuestra	vuestro/vuestra/vuestros/vuestras
Estas son ? camisas, te las regalo.	vuestras	vuestro/vuestra/vuestros/vuestras
Es este ? perro preguntó el inspector a la pareja.	vuestro	vuestro/vuestra/vuestros/vuestras
?: es la forma de decir que algo es suyo en plural y singular en masculino y femenino	vuestro/vuestra/vuestros/vuestras	vuestro/vuestra/vuestros/vuestras
Posesivo de vosotros, es ? .	vuestro	vuestro/vuestra/vuestros/vuestras
? Pronombre posesivo que indica lo que es de vosotros.	vuestro/vuestra/vuestros/vuestras	vuestro/vuestra/vuestros/vuestras
No sabemos quienes fueron ? Ancestros	Vuestros	vuestro/vuestra/vuestros/vuestras
? vestido es el más bonito, te ves preciosa.	vuestro	vuestro/vuestra/vuestros/vuestras
Despues de lavarla, tenemos que ? en el closet.	guardar la ropa	guardar la ropa
Para ? tienes que ponerla en los cajones.	guardar la ropa	guardar la ropa
Debo ? que no voy a usar en ese viaje.	guardar la ropa	guardar la ropa
esperame, voy a ?  en el closet.	guardar la ropa	guardar la ropa
Tengo que ? en el armario.	guardar la ropa	guardar la ropa
Después de lavar, lo siguiente es doblas y ? en el clóset.	guardar la ropa	guardar la ropa
Antes de ? en el clóset, revisamos que todo estuviera completo.	guardar la ropa	guardar la ropa
La escoba es ? barrer.	para	para
Por favor ? de pegarme.	para	para
Aunque todo te lo encuentres difícil, debes saber que todo esto es ? tu bien.	para	para
Mi mama fue al supermercado ? comprar leche.	para	para
? mi mamá, no es posible tener mucha ropa en color blanco.	para	para
La palabra que se usa ? representar el extremo receptor	para	para
el auto ? en la luz roja	para	para
? mi mamá, compre una nueva cocina.	Para	para
? Preposición que indica finalidad o uso.	para	para
Cuando quiero que el caballo se detenga, le grito: ?	para	para
El carpintero tiene que ? en madera.	hacer la cama	hacer la cama
Ahora que compré nuevas sábanas voy a ?.	hacer la cama	hacer la cama
En tu habitación tu eres el encargado de ?	hacer la cama	hacer la cama
Ellos saben que tiene que ? cuando se levantan cada mañana.	hacer la cama	hacer la cama
me levanter y salí apurado por lo que no pude ?	hacer la cama	hacer la cama
Todos los dias por la mañana se debe ?	hacer la cama	hacer la cama
Si te despiertas y no ? , tu madre seguramente te regañará.	haces la cama	hacer la cama
Lo mejor de quedarse en un hotel es no tener que ?	hacer la cama	hacer la cama
? Organizar las sábanas ylas cobijas cuando me levanto	hacer la cama	hacer la cama
Los lunes, antes de ? se cambian las sabanas.	hacer la cama	hacer la cama
El café estaba caliente y ? eso se quemó la niña.	por	por
No creo poder pasar ? ti.	por	por
Las cosas se hacen por dinero o ? amor.	por	por
Un enamorado haría todo ? su pareja.	por	por
ocho ? ocho es sesenta y cuatro	por	por
Cuando multiplicas números, dices dos ? cuatro.	por	por
El símbolo de multiplicación es el ?	por	por
? 200.000 votos ganó el candidato conservador.	por	por
Mi hermana compro un nuevo jabón para ?.	lavar los platos	lavar los platos
Mi madre me hace ? despues de comer, para que no se acumulen.	lavar los platos	lavar los platos
usted debe ? después de terminar la cena	lavar los platos	lavar los platos
Pon la vajilla en el fregador para ?.	lavar los platos	lavar los platos
Y aunque sea con el lavaplatos, para mí siempre lo más incómodo es ?	lavar los platos	lavar los platos
Después de comer yo tengo que ? para que la cocina luzca limpia.	lavar los platos	lavar los platos
para retirar las sobras de comida se debe ?	lavar los platos	lavar los platos
Después de comer, el muchacho ? que usaron.	lavo los platos	lavar los platos
Después de comer, hay que levantar la mesa y ?	lavar los platos	lavar los platos
?, esta es una pregunta trivial.	por ejemplo	por ejemplo
Si ? haces tu tarea a tiempo tendrás más tiempo libre.	por ejemplo	por ejemplo
Cuando vayas a hacer algo, hazlo por amor o por lo menos ? a los demás.	por ejemplo	por ejemplo
Para construir un puente se utilizan varias herramientas, ? el martillo y el tornillo.	por ejemplo	por ejemplo
? si te explico algo, y luego te digo una analogía, entonces empezaría diciendo...	por ejemplo	por ejemplo
?algo que se hace para demostrar algo	ejemplo	por ejemplo
Hoy jugaré a un juego de mesa, ? el Cluedo	por ejemplo	por ejemplo
Puedes ayudarme de muchas maneras; ?, puedes comenzar sacando la basura.	por ejemplo	por ejemplo
Tenía algunos requisitos para contratar a una niñera, ?, que fuera mayor de 20 años.	por ejemplo	por ejemplo
Patricia tiene que ? del bebe a mano con jabón suave.	lavar la ropa	lavar la ropa
